,No.,Name,Population,Youth,Youth_Perc,Education,Education_Perc, Median_Income ,Computing,Internet,Vehicle,Youth_Change,Park Access ,Area,Pop_Density,Percent_Free,Median_MinAge,Program_Duration,Crime_Rate
0,14,Albany Park,48396,9409,19.44%,18191,37.59%," $69,398.00 ",8.40%,14.30%,20.30%,-4.50%,1.70,1.92,25206.25,0.416856492,6,56,0.045086371
1,57,Archer Heights,14196,3088,21.75%,7408,52.18%," $48,793.00 ",17.70%,21.10%,20.00%,-4.30%,1.50,2.01,7062.69,0.375451264,6,56,0.070371936
2,34,Armour Square,13890,1984,14.28%,6769,48.73%," $37,123.00 ",20.30%,23.60%,40.20%,-4.50%,2.52,1,13890,0.333333333,6,63,0.082433405
3,70,Ashburn,41098,9805,23.86%,19296,46.95%," $71,951.00 ",7.10%,11.60%,6.70%,-1.90%,2.03,4.86,8456.38,0.333333333,6,56,0.048420848
4,71,Auburn Gresham,44878,9561,21.30%,23510,52.39%," $37,484.00 ",15.90%,25.60%,30.10%,-5.10%,1.63,3.77,11903.98,0.612121212,7,4,0.139801239
5,25,Austin,96557,18471,19.13%,48873,50.62%," $35,555.00 ",17.30%,24.10%,30.70%,-5.10%,0.69,7.15,13504.48,0.574320725,8,39,0.12655737
6,45,Avalon Park,9458,1471,15.55%,4342,45.91%," $54,419.00 ",22.70%,25.60%,21.50%,-4.30%,2.86,1.25,7566.4,0.75257732,12,0,0.123493339
7,21,Avondale,36257,5967,16.46%,14180,39.11%," $73,616.00 ",6.20%,10.50%,17.50%,-3.80%,0.84,1.98,18311.62,0.031210986,5,21,0.054748049
8,19,Belmont Cragin,78116,17888,22.90%,40325,51.62%," $58,138.00 ",11.90%,19.30%,14.30%,-3.80%,0.89,3.91,19978.52,0.303030303,6,49,0.052230017
9,72,Beverly,20027,3576,17.86%,4716,23.55%," $110,018.00 ",2.70%,5.30%,3.70%,-3.40%,2.00,3.18,6297.8,0.317784257,6,56,0.044489939
10,60,Bridgeport,33702,4745,14.08%,14480,42.96%," $58,670.00 ",8.70%,10.00%,20.00%,-3.30%,1.95,2.09,16125.36,0.375464684,6,42,0.045842977
11,58,Brighton Park,45053,10349,22.97%,21867,48.54%," $45,782.00 ",12.60%,16.70%,14.40%,-5.30%,0.91,2.72,16563.6,0.897297297,4,0,0.046811533
12,47,Burnside,2527,248,9.81%,1250,49.47%," $39,352.00 ",23.30%,27.80%,30.40%,-16.40%,1.00,0.61,4142.62,1,0,0,0.135734072
13,48,Calumet Heights,13088,1631,12.46%,5470,41.79%," $57,420.00 ",12.30%,14.10%,19.10%,-4.80%,1.48,1.75,7478.86,0.569620253,8,70,0.101390587
14,44,Chatham,31710,5497,17.34%,14607,46.06%," $39,859.00 ",14.60%,25.50%,33.20%,-5.40%,1.75,2.95,10749.15,0.732997481,6,0,0.191201514
15,66,Chicago Lawn,55931,11207,20.04%,27276,48.77%," $36,278.00 ",18.00%,21.30%,24.80%,-7.20%,1.48,3.53,15844.48,0.499238965,7,35,0.086106095
16,64,Clearing,24473,5015,20.49%,11420,46.66%," $58,168.00 ",12.60%,13.70%,10.20%,-0.20%,1.91,2.55,9597.25,0.289079229,6,56,0.041065664
17,35,Douglas,20291,3500,17.25%,7279,35.87%," $35,796.00 ",10.70%,15.40%,42.10%,-0.70%,8.69,1.65,12297.58,0.586726998,6,4,0.137055838
18,17,Dunning,43147,7780,18.03%,21009,48.69%," $74,526.00 ",11.60%,18.20%,6.00%,1.80%,1.05,3.72,11598.66,0.241255605,6,63,0.037105708
19,27,East Garfield Park,19992,3825,19.13%,8481,42.42%," $23,067.00 ",18.70%,27.30%,47.50%,-8.00%,4.08,1.93,10358.55,0.454231434,8,56,0.18852541
20,52,East Side,21724,5376,24.75%,11081,51.01%," $52,003.00 ",10.70%,13.90%,10.60%,-4.80%,7.56,2.98,7289.93,0.323943662,6,63,0.0533051
21,77,Edgewater,56296,6097,10.83%,16961,30.13%," $58,283.00 ",6.20%,9.30%,38.60%,-1.40%,1.74,1.74,32354.02,0.398557259,8,56,0.051211454
22,09,Edison Park,11525,1518,13.17%,3677,31.90%," $113,961.00 ",10.60%,14.70%,7.60%,2.90%,2.05,1.13,10199.12,0.072376357,6,67,0.026030369
